s;F;;s;F;;s;F;;s;F
11,87430685;114,0398941;;11,85417398;119,217598;;12,09533536;102,0068588;;11,8528879;118,6293182
11,86332053;115,0213394;;11,84414896;120,1380081;;12,0853256;102,7558823;;11,84286288;119,587326
11,85330313;115,9256363;;11,83413919;121,0515823;;12,07433164;103,5884018;;11,83286074;120,5414276
11,84327811;116,8338394;;11,82413706;121,979805;;12,0643295;104,368187;;11,82285097;121,5062714
11,83326834;117,7459488;;11,81413492;122,9202347;;12,05431974;105,1499252;;11,81185702;122,5800018
11,8232662;118,6600113;;11,80315622;123,9651566;;12,04430997;105,9341049;;11,80087832;123,6571503
11,81326407;119,581398;;11,79218515;125,0183792;;12,03331601;106,8066635;;11,78990725;124,731369
11,802293;120,60923;;11,7811912;126,0930862;;12,0223602;107,6914291;;11,77990511;125,7113495
11,7913143;121,6336441;;11,77118143;127,0906448;;12,01137388;108,5849838;;11,76989535;126,712326
11,78032034;122,687355;;11,76018747;128,1917114;;12,00038755;109,4848862;;11,75989321;127,7093964
